idx,smiles_raw,smiles_canon,valid,unique_valid,novel
45,CC1=CC(=O)C2CC2N1,CC1=CC(=O)C2CC2N1,1,1,0
46,CC12C=CC(CO)C1O2,CC12C=CC(CO)C1O2,1,1,0
47,CNC1=NC(C#N)C1O,CNC1=NC(C#N)C1O,1,1,1
48,CC12CC3(COC13)O2,CC12CC3(COC13)O2,1,1,1
49,CC12C=CC3CCC1C32,CC12C=CC3CCC1C32,1,1,0
50,O=C1CC(O)CC12CC2,O=C1CC(O)CC12CC2,1,1,1
51,OC1CCC2(CC2)C1O,OC1CCC2(CC2)C1O,1,1,0
52,CC(CO)OCC1CO1,CC(CO)OCC1CO1,1,1,0
53,CCN1C(=O)CC2OC21,CCN1C(=O)CC2OC21,1,1,1
54,CC12COCCCC1C2,CC12COCCCC1C2,1,1,0
55,CC(C)(C#N)CC1CC1,CC(C)(C#N)CC1CC1,1,1,0
56,CC12CC3CC1(C)C2C3,CC12CC3CC1C2(C)C3,1,1,0
57,CCC#CC1C2CCN21,CCC#CC1C2CCN12,1,1,1
58,C#CCCC(=O)C#N,C#CCCC(=O)C#N,1,1,1
59,CC#CC(C)OC,CC#CC(C)OC,1,1,0
60,CC#CC1(O)C2OCC21,CC#CC1(O)C2COC21,1,1,1
61,COCCCC1NC1C,COCCCC1NC1C,1,1,1
62,CC1C(=O)C2C3CC1N32,CC1C(=O)C2C3CC1N32,1,1,0
63,CCC1CCC(=O)C1O,CCC1CCC(=O)C1O,1,1,1
64,O=C1NC=CCC12CN2,O=C1NC=CCC12CN2,1,1,0
65,O=C1C2COC1C2C=O,O=CC1C2COC1C2=O,1,1,1
66,OC1COCC2CC1C2,OC1COCC2CC1C2,1,1,0
67,O=C1CN=C(CO)C1,O=C1CN=C(CO)C1,1,1,1
68,O=C1CC=CC2CO2)C1,,0,0,0
69,COC1CC2(C#N)CC12,COC1CC2(C#N)CC12,1,1,0
70,CC1C(=O)C=CC12CO2,CC1C(=O)C=CC12CO2,1,1,1
71,CCC(C#N)C1CC1,CCC(C#N)C1CC1,1,1,1
72,CC1(CC#N)CCC1=O,CC1(CC#N)CCC1=O,1,1,1
73,CC1(CCC=O)COC1,CC1(CCC=O)COC1,1,1,0
74,CN1C2C3CC1C1C2C31,CN1C2CC3C4C2C4C31,1,1,1
75,O=CC12CC1CC2CC1,,0,0,0
76,CN1CC(=O)C(=O)CO1,CN1CC(=O)C(=O)CO1,1,1,1
77,CC12C=CC(O)C1C2O,CC12C=CC(O)C1C2O,1,1,1
78,CN=C1OCC(=O)C1C,CN=C1OCC(=O)C1C,1,1,1
79,CCN(C)C(C=O)CC,CCC(C=O)N(C)CC,1,1,1
80,CC(=O)C(=O)N(C)C=O,CC(=O)C(=O)N(C)C=O,1,1,0
81,CC(=O)C12CC(C)C1C2,CC(=O)C12CC(C)C1C2,1,1,0
82,OC1CCC2C(C=O)O1,,0,0,0
83,CC1C=C2C3NC3C2O1,CC1C=C2C3NC3C2O1,1,1,0
84,OC1CC1C1C2OCC21,OC1CC1C1C2COC21,1,1,0
85,OC1CCCC2(CO2)C1,OC1CCCC2(CO2)C1,1,1,0
86,C#CC1(C#N)COCC1,C#CC1(C#N)CCOC1,1,1,0
87,COC(C=O)CC1CO1,COC(C=O)CC1CO1,1,1,1
88,CC12CC1COC2=N,CC12CC1COC2=N,1,1,0
89,CC1C(C#N)C1CC#N,CC1C(C#N)C1CC#N,1,1,0
90,OC1C2CC(O2)C2CC12,OC1C2CC(O2)C2CC12,1,1,0
91,CC1C(=O)C12CCOC2,CC1C(=O)C12CCOC2,1,1,1
92,O=CCOCCCCO,O=CCOCCCCO,1,1,0
93,O=C1CC2C3C(=O)C3O1,,0,0,0
94,CC1CC=C(C=O)C1=O,CC1CC=C(C=O)C1=O,1,1,0
95,CCCC(CO)OC,CCCC(CO)OC,1,1,0
96,C1=CC2COCC2OC1,C1=CC2COCC2OC1,1,1,0
97,CC1CC(C2CC2)CC1,CC1CCC(C2CC2)C1,1,1,0
98,CC1CCC2(CC2)C1O,CC1CCC2(CC2)C1O,1,1,1
99,O=C1CN2CC1(O)CC2,O=C1CN2CCC1(O)C2,1,1,0
100,CC(=O)C12CC(C)C1C2,CC(=O)C12CC(C)C1C2,1,1,0
101,C1=CC2(C3COC2C3)O1,C1=CC2(O1)C1COC2C1,1,1,1
102,C1CCC2(C1)OC1CC12,C1CCC2(C1)OC1CC12,1,1,0
103,O=C1NCC=CC(=O)O1,O=C1C=CCNC(=O)O1,1,1,1
104,CC(C)OC1COC1=O,CC(C)OC1COC1=O,1,1,0
105,COCC1C2CC3C2C13,COCC1C2CC3C1C23,1,1,1
106,CC(C)C#CC1CC1,CC(C)C#CC1CC1,1,1,1
107,CN=C1OCC12CCC2,CN=C1OCC12CCC2,1,1,0
108,C#CC1(O)CC1OC=O,C#CC1(O)CC1OC=O,1,1,0
109,C#CC12CCC1CC2O,C#CC12CCC1CC2O,1,1,0
110,CC(C)C(C)(C)C#CC,CC#CC(C)(C)C(C)C,1,1,0
111,CC(=O)CC1COC1,CC(=O)CC1COC1,1,1,0
112,COC1CC12CC(C)O2,COC1CC12CC(C)O2,1,1,1
113,CN=C1OC2CC3C1C23,CN=C1OC2CC3C1C23,1,1,0
114,CNC(=O)OC(=N)C=O,CNC(=O)OC(=N)C=O,1,1,0
115,O=C1COC1C1(O)CC1,O=C1COC1C1(O)CC1,1,1,0
116,CC1(O)COC2CC2O1,CC1(O)COC2CC2O1,1,1,1
117,CCCC1OC1C#N,CCCC1OC1C#N,1,1,0
118,OC1C2OC13CC1C2C31,OC1C2OC13CC1C2C13,1,1,1
119,CC1CC(C#N)OC1=O,CC1CC(C#N)OC1=O,1,1,0
120,CC1CC(CO)CC1=O,CC1CC(CO)CC1=O,1,1,1
121,O=CC12CC1C1OC2C1,O=CC12CC1C1CC2O1,1,1,0
122,OC1CC1C1(O)CC1,OC1CC1C1(O)CC1,1,1,0
123,COC1CC(=O)C1C,COC1CC(=O)C1C,1,1,0
124,CC12OC3C1NC32,CC12OC3C1NC32,1,1,0
125,C1=CC2OC2CC(O)C1,OC1CC=CC2OC2C1,1,1,1
126,CCC12OC1C1OC12,CCC12OC1C1OC12,1,1,0
127,C#CC12C(C)C(C)(C1)C2,C#CC12CC(C)(C1)C2C,1,1,1
128,CC12CC1CC21CCC1,CC12CC1CC21CCC1,1,1,0
129,C#CC(C)C(C#N)C#N,C#CC(C)C(C#N)C#N,1,1,0
130,C#CC(C)CC(C)(C)O,C#CC(C)CC(C)(C)O,1,1,0
131,CC(=O)C1C2OC3C2N13,CC(=O)C1C2OC3C2N31,1,1,1
132,CC(=O)C(=O)N(C)C=O,CC(=O)C(=O)N(C)C=O,1,1,0
133,C#CC1CC2(C1)CCO2,C#CC1CC2(CCO2)C1,1,1,0
134,CC1CCC=CC1C,CC1C=CCCC1C,1,1,0
135,CN1CC12CC1CC1C2,CN1CC12CC1CC1C2,1,1,1
136,CC12CCC1C1OC12C,CC12CCC1C1OC12C,1,1,0
137,O=C1CC2OC2C1CC1,,0,0,0
138,OC1C2OC3CCC12C3,OC1C2OC3CCC12C3,1,1,1
139,CC1(C)OC(=O)N1C,CN1C(=O)OC1(C)C,1,1,1
140,C#CC(C)(C#N)C1CO1,C#CC(C)(C#N)C1CO1,1,1,0
141,C#CC1OCCOC1C,C#CC1OCCOC1C,1,1,0
142,O=CC1CC(=O)C2OC12,O=CC1CC(=O)C2OC12,1,1,0
143,CC(=O)C1CCC(=O)O1,CC(=O)C1CCC(=O)O1,1,1,0
144,CC1CCC(=O)NCC1,CC1CCNC(=O)CC1,1,1,1
145,C#CC(C)OC1CC1,C#CC(C)OC1CC1,1,1,0
146,CCC12CC1(C)C21CC1,CCC12CC1(C)C21CC1,1,1,1
147,CC1C2C3OC2C13C,CC1C2C3OC2C13C,1,1,0
148,C#CC(C#C)(C)C1CO1,C#CC(C)(C#C)C1CO1,1,1,0
149,CC1CC(=O)C(C)C1O,CC1CC(=O)C(C)C1O,1,1,0
150,CC1(C)CC(=O)CC1=O,CC1(C)CC(=O)CC1=O,1,1,0
151,C#CC1OC1C#CCO,C#CC1OC1C#CCO,1,1,0
152,C1=CC2CC1C1CC2C1,C1=CC2CC1C1CC2C1,1,1,0
153,C#CC(C)(C#N)OC=O,C#CC(C)(C#N)OC=O,1,1,1
154,CC1(C)CC2CC2C=O,,0,0,0
155,C#CC(C)(C)C(O)CO,C#CC(C)(C)C(O)CO,1,1,0
156,C#CCC(C)(C)CC=O,C#CCC(C)(C)CC=O,1,1,0
157,C#CC1(C)CCCC1=O,C#CC1(C)CCCC1=O,1,1,0
158,O=C1C2COC(CC1)C2,O=C1CCC2CC1CO2,1,1,0
159,CCC1C(C#N)C2CN12,CCC1C(C#N)C2CN12,1,1,1
160,CC12C3C4C3C24C3C1,,0,0,0
161,CC(CO)OC(=N)N,CC(CO)OC(=N)N,1,1,1
162,OC1CC1(C=O)C1CO1,O=CC1(C2CO2)CC1O,1,1,0
163,COC12CC3C1N3C2C,COC12CC3C1N3C2C,1,1,1
164,CC1=C2CC(C#N)C2O1,CC1=C2CC(C#N)C2O1,1,1,1
165,O=C1COC2CC1CC2,O=C1COC2CCC1C2,1,1,0
166,COC(C)C(=O)C(N)=O,COC(C)C(=O)C(N)=O,1,1,0
167,COC1CC(C)C1(C)C,COC1CC(C)C1(C)C,1,1,0
168,C#CC1(C2OC3C2CC1)N3,C#CC12CCC3C(N1)OC32,1,1,1
169,CC(=O)C(C)C(C)C#N,CC(=O)C(C)C(C)C#N,1,1,0
170,CC1C(C)C1CCO,CC1C(C)C1CCO,1,1,0
171,O=C1C=CCCCC1,O=C1C=CCCCC1,1,1,0
172,CC#CC1C(C)C1O,CC#CC1C(C)C1O,1,1,0
173,CN1C(=O)CCC12CO2,CN1C(=O)CCC12CO2,1,1,1
174,C1CC2C(CC3CC3)C12,C1CC1CC1C2CCC21,1,1,0
175,CC1CC=CC(C=O)O1,CC1CC=CC(C=O)O1,1,1,0
176,C#CC1(C)C2CC1(C)C2,C#CC1(C)C2CC1(C)C2,1,1,0
177,CC(CO)OCC#N,CC(CO)OCC#N,1,1,0
178,CN1C(=O)C2CCC(=O)N12,CN1C(=O)C2CCC(=O)N21,1,1,1
179,CC12COC(C3CN3)C12,,0,0,0
180,CC(C)(C)OC(=O)C=O,CC(C)(C)OC(=O)C=O,1,1,0
181,O=C1NC=CCOC1,O=C1COCC=CN1,1,1,0
182,CCC12COCC1OC2,CCC12COCC1OC2,1,1,0
183,C#CC(O)C(C)(C)CO,C#CC(O)C(C)(C)CO,1,1,0
184,CC1CC(CC=O)C1=O,CC1CC(CC=O)C1=O,1,1,0
185,OC1C2COC3(CN3)C12,OC1C2COC3(CN3)C12,1,1,1
186,C1=CC2OC3CC2C3C1,C1=CC2OC3CC2C3C1,1,1,1
187,O=C1COCCCC1=O,O=C1CCCOCC1=O,1,1,1
188,CCC1(C)COC(=O)N1,CCC1(C)COC(=O)N1,1,1,1
189,CC12C3=CC1N1C3C1C2,CC12CC3C4C1=CC2N34,1,1,1
190,O=CC1OCC1(O)CC,CCC1(O)COC1C=O,1,1,0
191,CC1=CC(=O)CC2CC12,CC1=CC(=O)CC2CC12,1,1,0
192,CCC(C)CCCO,CCC(C)CCCO,1,1,0
193,CC1C(=O)C2CCC12C,CC1C(=O)C2CCC12C,1,1,0
194,CC12CN3CC(O1)C32O,CC12CN3CC(O1)C32O,1,1,1
195,CC1(C)CN2CC2CO1,CC1(C)CN2CC2CO1,1,1,0
196,CNC(=O)C(C)(C)C,CNC(=O)C(C)(C)C,1,1,0
197,O=CC1(CC=O)CCO1,O=CCC1(C=O)CCO1,1,1,0
198,CC#CC1COCC1O,CC#CC1COCC1O,1,1,1
199,CCC1(CO)CC(=O)O1,CCC1(CO)CC(=O)O1,1,1,1
200,C1=Cc2oncc2CO1,C1=Cc2oncc2CO1,1,1,1
201,COC(C)C(=O)CCO,COC(C)C(=O)CCO,1,1,0
202,CC(C)COCCCC,CCCCOCC(C)C,1,1,0
203,COC1CC2OC12C#N,COC1CC2OC12C#N,1,1,0
204,C1=CC2C3CCC12C13O,,0,0,0
205,OC1C2C3C4C3C2C14O,OC1C2C3C4C3C1(O)C24,1,1,0
206,CN=C1C(C)C(=O)N1C,CN=C1C(C)C(=O)N1C,1,1,1
207,CCC12OC1C(O)C2,CCC12CC(O)C1O2,1,1,1
208,OC1C2C=C3CNC1C32,OC1C2C=C3CNC1C32,1,1,1
209,C#CC(C)OC(=N)C#N,C#CC(C)OC(=N)C#N,1,1,0
210,CC1CC(C)C1(C)C#N,CC1CC(C)C1(C)C#N,1,1,0
211,CC(C)(O)c1ccno1,CC(C)(O)c1ccno1,1,1,0
212,O=CNCCC(=O)CC,CCC(=O)CCNC=O,1,1,0
213,CC1CC1(C)OC=O,CC1CC1(C)OC=O,1,1,1
214,CC1(C)C2CC(=O)C12O,CC1(C)C2CC(=O)C21O,1,1,0
215,CCC12C3CC(C31)C2,CCC12CC3CC1C32,1,1,0
216,CC12CC3CCC1(O)C32,CC12CC3CCC1(O)C32,1,1,0
217,CC1CCC(=O)C(C)O1,CC1CCC(=O)C(C)O1,1,1,0
218,CCCCC1C(C)C1O,CCCCC1C(C)C1O,1,1,0
219,CC1C2C(=O)CC12O,CC1C2C(=O)CC12O,1,1,0
220,C1OCC12CN1CC12,C1C2N1CC21COC1,1,1,1
221,CNc1noc(C)c1O,CNc1noc(C)c1O,1,1,1
222,O=CC12CC1C1COC12,O=CC12CC1C1COC12,1,1,0
223,O=C1CC2(CO2)C2CC12,O=C1CC2(CO2)C2CC12,1,1,0
224,C#CC(C)C#CCCO,C#CC(C)C#CCCO,1,1,0
225,CC(C)(C)OC(=O)C=O,CC(C)(C)OC(=O)C=O,1,1,0
226,O=C1CCC(O)C1CC,CCC1C(=O)CCC1O,1,1,1
227,C#CC1(C)CC(C)C1=O,C#CC1(C)CC(C)C1=O,1,1,0
228,C#CC12COC1(C)CO2,C#CC12COC1(C)CO2,1,1,0
229,CC(=O)C#CC1(C)CC1,CC(=O)C#CC1(C)CC1,1,1,0
230,CC1CC=CCC1=O,CC1CC=CCC1=O,1,1,0
231,CCC1C=C(C#N)CN1,CCC1C=C(C#N)CN1,1,1,1
232,CC(C#N)C(O)C#N,CC(C#N)C(O)C#N,1,1,0
233,C#CCC1(C)COC1=O,C#CCC1(C)COC1=O,1,1,0
234,CN=C1OC2CCC1C2,CN=C1OC2CCC1C2,1,1,0
235,CC1C(C=O)C2OC12C,CC1C(C=O)C2OC12C,1,1,0
236,CCC(O)C(O)C1CC1,CCC(O)C(O)C1CC1,1,1,0
237,O=C1CC2CC3CN3C12,O=C1CC2CC3CN3C12,1,1,1
238,O=C1NC(=O)CCC1C,CC1CCC(=O)NC1=O,1,1,0
239,CN=C1CC=CC(=O)O1,CN=C1CC=CC(=O)O1,1,1,0
240,OC1COCCOC1=O,O=C1OCCOCC1O,1,1,0
241,OC1C=CC2CC2CC1,OC1C=CC2CC2CC1,1,1,0
242,CC1CCCC(=O)O1,CC1CCCC(=O)O1,1,1,1
243,CC1CC2(COC2O)C1,CC1CC2(COC2O)C1,1,1,1
244,CC1(C)CCCC(=O)O1,CC1(C)CCCC(=O)O1,1,1,0
245,CC1=CC(=O)C2(C)CC12,CC1=CC(=O)C2(C)CC12,1,1,1
246,C#CCCC1OC1C,C#CCCC1OC1C,1,1,0
247,C#CC(C)OC1CC1,C#CC(C)OC1CC1,1,1,0
248,CC1(C(=O)NC=O)CC1,CC1(C(=O)NC=O)CC1,1,1,1
249,CN=C1OC2CC12O,CN=C1OC2CC12O,1,1,1
250,CCNC1=NCC(C)O1,CCNC1=NCC(C)O1,1,1,1
251,CCC(CC)CCO,CCC(CC)CCO,1,1,0
252,C#CCC#CC(C)C#N,C#CCC#CC(C)C#N,1,1,0
253,C1CCCC(O1)C1CC1,C1CCC(C2CC2)OC1,1,1,1
254,CC12CCC1C1CCC12,CC12CCC1C1CCC12,1,1,0
255,C1CC2(C1)C1NC21,C1CC2(C1)C1NC12,1,1,1
256,CCCCC1CN1C=O,CCCCC1CN1C=O,1,1,0
257,CC#CC1C2CC3C1N23,CC#CC1C2CC3C1N23,1,1,0
258,CC1C2C(=O)NC2C1=O,CC1C(=O)C2NC(=O)C12,1,1,1
259,CCC12CC(C1)C2C=O,CCC12CC(C1)C2C=O,1,1,0
260,C#CC1(C(C)=O)CC1,C#CC1(C(C)=O)CC1,1,1,0
261,CC1=CC(CO)CN1C,CC1=CC(CO)CN1C,1,1,1
262,CC1(C#N)CCC1C,CC1CCC1(C)C#N,1,1,0
263,O=C1CCC(O)CC1O,O=C1CCC(O)CC1O,1,1,0
264,CC(C)C(=O)NC(C)=O,CC(=O)NC(=O)C(C)C,1,1,0
265,CCN1C2C3OC3C2C1,CCN1CC2C3OC3C21,1,1,1
266,OC1C2C=CC1C(CO1)O2,,0,0,0
267,CC(=O)C1(C)OC1C,CC(=O)C1(C)OC1C,1,1,0
268,O=CC1(CO)CCCO1,O=CC1(CO)CCCO1,1,1,1
269,COC(C)(C)OCC=O,COC(C)(C)OCC=O,1,1,1
270,OC1C2C=CCCC1C2,OC1C2C=CCCC1C2,1,1,0
271,OC1CC2OC3C1CC23,OC1CC2OC3C1CC23,1,1,0
272,CC1=CC2CC1COC2,CC1=CC2COCC1C2,1,1,1
273,O=CC1=CC(=O)N2CC12,O=CC1=CC(=O)N2CC12,1,1,1
274,OC1CC1CC1(O)CC1,OC1CC1CC1(O)CC1,1,1,1
275,CCC1CCCCCC1,CCC1CCCCCC1,1,1,0
276,CCC1C(C)C1CCC,CCCC1C(C)C1CC,1,1,0
277,CC1(C)OC12CN(C)C2,CN1CC2(C1)OC2(C)C,1,1,0
278,O=C1CN=COC12CC2,O=C1CN=COC12CC2,1,1,0
279,C1=CC2OC3C(CC1)C23,C1=CC2OC3C(CC1)C23,1,1,1
280,O=C1NC2(C1)C1CC12,O=C1CC2(N1)C1CC12,1,1,1
281,O=C1C=CC2CCCO2,,0,0,0
282,CN1C2C3N=COC12C3,CN1C2C3CC21OC=N3,1,1,1
283,CC1=CC2CC3CC2C13,CC1=CC2CC3CC2C13,1,1,0
284,COCC(C#N)C(N)=O,COCC(C#N)C(N)=O,1,1,1
285,CC1(C)CCC2OC21,CC1(C)CCC2OC21,1,1,0
286,CC1C(=O)C2C(O)C12C,CC1C(=O)C2C(O)C12C,1,1,0
287,O=C1CC2(CO2)C1,O=C1CC2(CO2)C1,1,1,0
288,CC1COC1C(N)=O,CC1COC1C(N)=O,1,1,0
289,CC1C(=O)C2(CO)NC12,CC1C(=O)C2(CO)NC12,1,1,0
290,CN=C1CCCC1O,CN=C1CCCC1O,1,1,1
291,CC(C)(C)C(O)CO,CC(C)(C)C(O)CO,1,1,0
292,CC1=CCC(=O)C1(C)O,CC1=CCC(=O)C1(C)O,1,1,1
293,CC1(C)CNC(=O)C1O,CC1(C)CNC(=O)C1O,1,1,0
294,CC#CC1(C)CC(=O)N1,CC#CC1(C)CC(=O)N1,1,1,0
295,COC12C3C4C(C31)C42C,COC12C3C4C(C31)C42C,1,1,0
296,O=C1C2CC2C2NC12,O=C1C2CC2C2NC12,1,1,0
297,C1=C2CC3(CO3)C1C2,C1=C2CC1C1(CO1)C2,1,1,1
298,O=CC1(CO)OC2CC21,O=CC1(CO)OC2CC21,1,1,0
299,C#CCC#CC(C)O,C#CCC#CC(C)O,1,1,0
300,C1CC23OC4C1CN1C34,,0,0,0
301,CC1CC1(C#N)C(=N)O,CC1CC1(C#N)C(=N)O,1,1,1
302,OC1CC12CC1CC12O,OC1CC12CC1CC12O,1,1,0
303,OC1CCCC2CC1C2,OC1CCCC2CC1C2,1,1,0
304,CNc1cc(N)oc1N,CNc1cc(N)oc1N,1,1,0
305,CC1C2C3CC2(C)C3C1,CC1CC2C3CC2(C)C13,1,1,0
306,OC1C2CC3CC2C13,OC1C2CC3CC2C31,1,1,0
307,COC12CN1C(=O)C21C,,0,0,0
308,CC(=O)C#CCC#N,CC(=O)C#CCC#N,1,1,0
309,CC1CC(=O)N2CC12C,CC1CC(=O)N2CC12C,1,1,1
310,CC(=O)C1C2CCC1C2,CC(=O)C1C2CCC1C2,1,1,0
311,CCN=C(C=O)NC,CCN=C(C=O)NC,1,1,0
312,C#CC1OC12CCOC2,C#CC1OC12CCOC2,1,1,0
313,C#CC(C)C(C)OC,C#CC(C)C(C)OC,1,1,0
314,CC1CC12CNC1CO1,,0,0,0
315,CC#CC1OC1CCC,CC#CC1OC1CCC,1,1,0
316,O=CN1CC1(O)CO,O=CN1CC1(O)CO,1,1,1
317,C1=Cc2ccoc2C1,C1=Cc2ccoc2C1,1,1,0
318,C#CC1C2C3C4C(C31)C42,C#CC1C2C3C1C1C2C31,1,1,0
319,CC1C2N1CC(=O)C2=O,CC1C2C(=O)C(=O)CN12,1,1,0
320,O=C1C=CC2(CO2)C1O,O=C1C=CC2(CO2)C1O,1,1,0
321,C1OC1C1(CO2)CC1,,0,0,0
322,CC1(C=O)C2CCC(C2)N1,CC1(C=O)NC2CCC1C2,1,1,1
323,COCCN=C(N)C#N,COCCN=C(N)C#N,1,1,0
324,CC1=CC(C)C(=O)OC1,CC1=CC(C)C(=O)OC1,1,1,1
325,CC1CC2(CCC32)CC13,CC1CC23CCC2C1C3,1,1,1
326,CC1(C#N)C(O)C1C#N,CC1(C#N)C(O)C1C#N,1,1,0
327,C#CC(C#C)CCO,C#CC(C#C)CCO,1,1,0
328,CC1(C#N)CC(=O)C1,CC1(C#N)CC(=O)C1,1,1,0
329,CC1=CCC(C)CCO1,CC1=CCC(C)CCO1,1,1,1
330,CC1C=CCC2CC2C1,CC1C=CCC2CC2C1,1,1,0
331,COC(C#N)COC=O,COC(C#N)COC=O,1,1,0
332,COC12CN1C1CC2C1,COC12CN1C1CC2C1,1,1,1
333,CCC1C2C=CC1C2C,CCC1C2C=CC1C2C,1,1,1
334,CC1CC1C1CCC1O,CC1CC1C1CCC1O,1,1,0
335,CC1CC1C1C2CCC12,CC1CC1C1C2CCC21,1,1,0
336,CN=C1OC(=O)C2CC12,CN=C1OC(=O)C2CC12,1,1,0
337,CC(=O)C1C2CCCC21,CC(=O)C1C2CCCC21,1,1,0
338,CC(C)C1CCC(=O)O1,CC(C)C1CCC(=O)O1,1,1,0
339,CC(C)(O)c1ccno1,CC(C)(O)c1ccno1,1,1,0
340,OC1CC2CCC1C2,OC1CC2CCC1C2,1,1,0
341,OC1CC23CC4C(C2)C43O1,OC1CC23CC4C(C2)C43O1,1,1,1
342,CCCC(=O)NC(N)=O,CCCC(=O)NC(N)=O,1,1,1
343,CC1=CC(=O)N2CC12C,CC1=CC(=O)N2CC12C,1,1,1
344,C#CC(C#C)C(C)C#N,C#CC(C#C)C(C)C#N,1,1,0
345,OC1CC2C3C1C1C1C23,,0,0,0
346,CC(=O)C(CO)OC,COC(CO)C(C)=O,1,1,0
347,CCC1CCC2CC1O2,CCC1CCC2CC1O2,1,1,0
348,O=CCC12CCC(O1)C2,O=CCC12CCC(C1)O2,1,1,0
349,CC1CC1(C#N)CCO,CC1CC1(C#N)CCO,1,1,1
350,C#CC12CC(O)C1OC2,C#CC12COC1C(O)C2,1,1,1
351,CC(C#N)(C=O)OC=O,CC(C#N)(C=O)OC=O,1,1,1
352,O=C1NCC=CC2CN12,O=C1NCC=CC2CN12,1,1,0
353,C1CC2CC2C12CC2,C1CC2(CC2)C2CC12,1,1,1
354,CCC(O)C1CC1C=O,CCC(O)C1CC1C=O,1,1,0
355,C1=CC2CC3(CC3)OC12,C1=CC2OC3(CC3)CC12,1,1,1
356,CC1COC2(CC2)O1,CC1COC2(CC2)O1,1,1,1
357,OC1COC(=O)C2NC12,O=C1OCC(O)C2NC12,1,1,0
358,CC#CC1(CC)CC1O,CC#CC1(CC)CC1O,1,1,1
359,CCCN1CC(C=O)C1,CCCN1CC(C=O)C1,1,1,1
360,CC1CC1C(C)(C)C#N,CC1CC1C(C)(C)C#N,1,1,0
361,O=CC12CC3C(O1)C2O3,O=CC12CC3OC1C3O2,1,1,0
362,CN1CCC(=O)C12CO2,CN1CCC(=O)C12CO2,1,1,1
